[GIN] 2019/10/25 - 20:04:52 | 200 |      62.377µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:04:52 | 200 |   53.110893ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:04:52 | 200 |  115.184257ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:04:52 | 200 |    5.044671ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:04:52 | 200 |     121.872µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:07:05 | 200 |      83.152µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:07:05 | 304 |      72.945µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:07:05 | 304 |      25.928µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:07:05 | 304 |      40.437µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:07:05 | 304 |      33.744µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:07:05 | 304 |        32.2µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:07:05 | 304 |       26.67µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:07:05 | 200 |      37.586µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:07:05 | 200 |      87.203µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:07:41 | 200 |      59.437µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:07:41 | 200 |     251.226µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:07:41 | 200 |      329.73µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:07:41 | 200 |    2.700943ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:07:41 | 200 |       33.01µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:07:41 | 200 |   26.629065ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:07:41 | 200 |   91.586437ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:07:41 | 200 |     122.815µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:07:41 | 200 |      51.636µs |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:08:33 | 200 |     430.158µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:08:33 | 200 |     2.17936ms |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:08:33 | 200 |    1.596879ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:08:33 | 200 |   17.522919ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:08:33 | 200 |      52.858µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:08:34 | 200 |   23.372245ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:08:34 | 200 |  100.230441ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
